citanceNumber,referenceArticle,citingArticle,preTwo,preOne,citationSentence,postOne,postTwo,citationCategory
550,W03-0410.xml,D11-1095.xml,"The extended version of the taxonomy in VerbNet (Kipper, 2005) classifies 5757 verbs.",Its 5 level taxonomy includes 101 top level and 369 subclasses.,"We used three gold standards (and corresponding test sets) extracted from these resources in our experiments: T1: The first gold standard is a flat gold standard which includes 13 classes appearing in Levin’s original taxonomy (Stevenson and Joanis, 2003).",We included this small gold standard in our experiments so that we could compare the flat version of our method against previously published methods.,"Following Stevenson and Joanis (2003), we selected 20 verbs from each class which occur at least 100 times in our corpus.",Single Citance
551,W03-0410.xml,D11-1095.xml,"We used three gold standards (and corresponding test sets) extracted from these resources in our experiments: T1: The first gold standard is a flat gold standard which includes 13 classes appearing in Levin’s original taxonomy (Stevenson and Joanis, 2003).",We included this small gold standard in our experiments so that we could compare the flat version of our method against previously published methods.,"Following Stevenson and Joanis (2003), we selected 20 verbs from each class which occur at least 100 times in our corpus.","This gave us 260 verbs in total.T2: The second gold standard is a large, hierarchical gold standard which we extracted from VerbNet as follows: 1) We removed all the verbs that have less than 1000 occurrences in our corpus.","2) In order to minimise the problem of pol- ysemy, we assigned each verb to the class which, according to VerbNet, corresponds to its predominant sense in WordNet (Miller, 1995).",Single Citance
552,W03-0410.xml,D11-1095.xml,"For each verb appearing in T1T3, we extracted all the occurrences (up to 10,000) from the British National Corpus (Leech, 1992) and North American News Text Corpus (Graff, 1995).",3.1 Features and feature extraction.,"Previous works on Levin style verb classification have investigated optimal features for this task (Stevenson and Joanis, 2003; Li and Brew, 2008; Sun and Korhonen, 2009)).",We adopt for our experiments a set of features which have performed well in recent verb clustering works: A: Subcategorization frames (SCFs) and their relative frequencies with individual verbs.,B: A with SCFs parameterized for prepositions.,Multi Citance
553,W03-0410.xml,D11-1095.xml,"The second is local pairwise merging, i.e. the fact that only two clusters can be combined at any level.","For example, in order to group clusters representing Levin classes 9.1, 9.2 and 9.3 into a single cluster representing class 9, the method has to produce intermediate clusters, e.g. 9.{1,2} and 9.3.Such clusters do not always have a semantic inter pretation.","Although they can be removed using a cut-based method, this requires a predefined cutoff value which is difficult to set (Stevenson and Joanis, 2003).","In the above example, only the clusters 9.{1,2} and 9.3 are consid ered, while alternative clusters 9.{1,3} and 9.2 are ignored.","Ideally, information about all the possible intermediate clusters should be aggregated, but this is intractable in practice.",Single Citance
554,W03-0410.xml,D11-1095.xml,"For AGG, we cut the hierarchy at 13 clusters.",Nc Nl HGFC uncons trained A G G N MI F N M I F 13 0 13 3 57 .3 1 36 .6 5 54 .2 2 32 .6 2 11 4 11 7 54 .6 7 37 .9 6 51 .3 5 32 .4 4 50 51 37 .7 5 40 .0 0 32 .6 1 32 .7 8 Table 2: Performance on T2 using a predefined tree structure.,Table 1: Comparison against Stevenson and Joanis (2003)’s result on T1 (using similar features).,Table 1 shows our results and the results of Stevenson and Joanis (2003) on T1 when employing AGG using Ward as the linkage criterion.,"In this experiment, we used the same feature set as Stevenson and Joanis (2003) (set B, see section 3.1) and were therefore able to reproduce their AGG result with a difference smaller than 2%.",Single Citance
555,W03-0410.xml,D11-1095.xml,Nc Nl HGFC uncons trained A G G N MI F N M I F 13 0 13 3 57 .3 1 36 .6 5 54 .2 2 32 .6 2 11 4 11 7 54 .6 7 37 .9 6 51 .3 5 32 .4 4 50 51 37 .7 5 40 .0 0 32 .6 1 32 .7 8 Table 2: Performance on T2 using a predefined tree structure.,Table 1: Comparison against Stevenson and Joanis (2003)’s result on T1 (using similar features).,Table 1 shows our results and the results of Stevenson and Joanis (2003) on T1 when employing AGG using Ward as the linkage criterion.,"In this experiment, we used the same feature set as Stevenson and Joanis (2003) (set B, see section 3.1) and were therefore able to reproduce their AGG result with a difference smaller than 2%.","When using this simple feature set, HGFC outperforms the best performing AGG clearly: 8.5% in ACC and 7.3% in Radj . We also compared HGFC against the best reported clustering method on T1 to date – that of spectral clustering by Sun and Korhonen (2009).",Single Citance
556,W03-0410.xml,D11-1095.xml,Table 1: Comparison against Stevenson and Joanis (2003)’s result on T1 (using similar features).,Table 1 shows our results and the results of Stevenson and Joanis (2003) on T1 when employing AGG using Ward as the linkage criterion.,"In this experiment, we used the same feature set as Stevenson and Joanis (2003) (set B, see section 3.1) and were therefore able to reproduce their AGG result with a difference smaller than 2%.","When using this simple feature set, HGFC outperforms the best performing AGG clearly: 8.5% in ACC and 7.3% in Radj . We also compared HGFC against the best reported clustering method on T1 to date – that of spectral clustering by Sun and Korhonen (2009).",We used the feature sets C and D which are similar to the features (SCF parameterized by lexical prefences) in their experiments.,Single Citance
557,W03-0410.xml,J06-2001.xml,The results show how much impact a few mistakes may have on the pairwise f-score of the results.,"In addition to defining a difficult task, we also chose strong evaluation measures: Evaluating pairs of objects results in lower numbers than evaluating the individual objects.","For example, the accuracy/purity measure (Stevenson and Joanis 2003; Korhonen, Krymolowski, and Marx 2003) evaluates whether a verb is assigned to a correct cluster with respect to the gold standard class of the majority of cluster members.","That is, in a first step each induced verb cluster is assigned a gold standard class according to which class captures the majority of the cluster members.","In a second step, each verb in a cluster is evaluated as correct or wrong with respect to its gold standard class, and accuracy/purity of the whole clustering is calculated as the proportion of correct verbs divided by the total number of verbs.",Multi Citance
558,W03-0410.xml,J06-2001.xml,"For example, Joanis (2002) reported an extension of their work that used 802 verbs from 14 classes from Levin (1993).","He defined an extensive feature space with 219 core features (such as part of speech, auxiliary frequency, syntactic categories, and animacy as above) and 1,140 selectional preference features taken from WordNet.As in Schulte im Walde (2000), the selectional preferences did not improve the clustering.","In recent work, Stevenson and Joanis (2003) compared their supervised method for verb classification with semisupervised and unsupervised techniques.","In these experiments, they enlarged the number of gold standard English verb classes to 14 classes related to Levin classes, with a total of 841 verbs.",Low- frequency and ambiguous verbs were excluded from the classes.,Post Contiguous
559,W03-0410.xml,P03-1009.xml,It is multiplied by a factor that increases with cluster size.,This factor compensates for a bias towards small clusters.,"Our second measure is derived from purity, a global measure which evaluates the mean precision of the clusters, weighted according to the cluster size (Stevenson and Joanis, 2003).","We associate with each cluster its most prevalent semantic class, and denote the number of verbs in a cluster K that take its prevalent class by nprevalent(K ).",Verbs that do not take this class are considered as errors.,Single Citance
560,W03-0410.xml,P03-1009.xml,"We argue, however, that evaluation against a monosemous gold standard reveals only part of the picture.","10 Due to differences in task definition and experimental setup, a direct comparison with earlier results is impossible.","For example, Stevenson and Joanis (2003) report an accuracy of 29% (which implies mP U R ≤ 29%), but their task involves classifying 841 verbs to 14 classes based on differences in the predicate-argument structure.",Dif fer ent S en se s Pai rs Fr act io n in clu ste r 0 1 2 3 4 3 9 8 5 6 2 5 12 84 14 37 5 1 % 1 0 % 7 % 3 % 3 % Table 3: Evaluation against the monosemous (Pred.),and pol- ysemous (Multiple) gold standards.,Single Citance
561,W03-0410.xml,P04-2007.xml,"A classification of Spanish verbs based on the same hypothesis has been developed by (Va´zquez et al., 2000).",But manually constructing large-scale verb classifications is a labour-intensive task.,"For this reason, various methods for automatically classifying verbs using machine learning techniques have been attempted ((Merlo and Stevenson, 2001), (Stevenson and Joanis, 2003), (Schulte im Walde, 2003)).",In this article we present experiments aiming at automatically classifying Spanish verbs into lexical semantic classes based on their subcategorisation frames.,We adopt the idea that a description of verbs in terms of their syntactic behaviour is useful for acquiring their semantic properties.,Multi Citance
562,W03-0410.xml,P07-3016.xml,"While this method has the advantage of working on POS-tagged, unparsed corpora, it is costly with respect to time and linguistic expertise.","To overcome this drawback, (Joanis and Stevenson, 2003) develop a general feature space for supervised verb classification.","(Stevenson and Joanis, 2003) investigate the applicability of this general feature space to unsupervised verb clustering tasks.","As unsupervised methods are more sensitive to noisy features, the key issue is to filter out the large number of probably irrelevant features.","They propose a semi- supervised feature selection method which outperforms both hand-selection of features and usage of the full feature set.As in our experiment we do not have a predefined set of semantic classes, we need to apply unsupervised methods.",Single Citance
563,W03-0410.xml,W06-2910.xml,"There are a variety of manual semantic verb classifications; major frameworks are the Levin classes (Levin, 1993), WordNet (Fellbaum, 1998), and FrameNet (Fontenelle, 2003).","The different frameworks depend on different instantiations of semantic similarity, e.g. Levin relies on verb similarity referring to syntax-semantic alternation behaviour, WordNet uses synonymy, and FrameNet relies on situation-based agreement as defined in Fillmore’s frame semantics (Fillmore, 1982).","As an alternative to the resource-intensive manual classifications, automatic methods such as classification and clustering are applied to induce verb classes from corpus data, e.g.(Merlo and Stevenson, 2001; Joanis and Stevenson, 2003; Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003; Fer- rer, 2004).","Depending on the types of verb classes to be induced, the automatic approaches vary their choice of verbs and classification/clustering algorithm.","However, another central parameter for the automatic induction of semantic verb classes is the selection of verb features.",Multi Citance
564,W03-0410.xml,W06-2910.xml,"Since the target classification determines the similarity and dissimilarity of the verbs, the verb feature selection should model the similarity of interest.","For example, Merlo and Stevenson (2001) classify 60 English verbs which alternate between an intransitive and a transitive usage, and assign them to three verb classes, according to the semantic role assignment in the frames; their verb features are chosen such that they model the syntactic frame alternation proportions and also heuristics for semantic role assignment.","In larger-scale classifications such as (Korhonen et al., 2003; Stevenson and Joanis, 2003; Schulte im Walde, 2003), which model verb classes with similarity at the syntax-semantics interface, it is not clear which features are the most salient.","The verb features need to relate to a behavioural component (modelling the syntax-semantics interplay), but the set of features which potentially influence the behaviour is large, ranging from structural syntactic descriptions and argument role fillers to adverbial adjuncts.","In addition, it is not clear how fine-grained the features should be; for example, how much information is covered by low-level window co-occurrence vs. higher-order syntactic frame fillers?",Multi Citance
565,W03-0410.xml,W06-2910.xml,"Again, we performed an agglomerative hierarchical clustering on the verbs (as modelled by the different feature types).","We cut the hierarchy at a level of 77 clusters, which corresponds to the number of FrameNet classes, and evaluated against the FrameNet classes.","For the evaluation of the clustering results, we calculated the accuracy of the clusters, a cluster similarity measure that has been applied before, cf.(Stevenson and Joanis, 2003; Korhonen et al., 2003)","classes from all GermaNet synsets, and created a hard classification for these classes, by randomly deleting additional senses of a verb so we have a fixed cut in the hierarchy as based on the gold standard, as opposed to the evaluation in Section 3 where we explored the optimal cut level.",frames grammar relations f-pp f-pp-pref n na na NP PP NP&PP ADV Assoc 37.50 37.80 35.90 37.18 39.25 39.14 37.97 41.28 38.53 GN 46.98 49.14 58.01 53.37 51.90 53.10 54.21 51.77 51.82 FN 33.50 32.76 29.46 30.13 32.74 34.16 28.72 33.91 35.24 co-occurrence: window-20 all cut ADJ ADV N V Assoc 39.33 39.45 37.31 36.89 39.33 38.84 GN 51.53 52.42 50.88 47.79 52.86 49.12 FN missing 32.84 31.08 31.00 34.24 31.75 Table 4: Accuracy for induced verb classes.,Multi Citance
566,W03-0410.xml,E09-1072.xml,The task of animacy classification bears some resemblance to the task of named entity recognition (NER) which usually makes reference to a ‘person’ class.,"However, whereas most NER systems make extensive use of orthographic, morphological or contextual clues (titles, suffixes) and gazetteers, animacy for nouns is not signaled overtly in the same way.","Following a strategy in line with work on verb classification (Merlo and Stevenson, 2001; Stevenson and Joanis, 2003), we set out to classify common noun lemmas based on their morphosyntactic distribution in a considerably larger corpus.",This is thus equivalent to treatment of animacy as a lexical semantic property and the classification strategy is based on generalization of morphosyntactic behaviour of common nouns over large quantities of data.,"Due to the small size of the Talbanken05 treebank and the small amount of variation, this strategy was pursued for the acquisition of animacy information.",Multi Citance
567,W04-0213.xml,C04-1061.xml,"1 In our corpus of newspaper commentaries (Stede,.","Our position is that progress in discourse parsing relies on the one hand on a more thorough understanding of the underlying issues, and on the other hand on the availability of human-annotated corpora, which can serve as a resource for in-depth studies of discourse- structural phenomena, and also for training statistical analysis programs.","Two examples of such corpora are the RST Tree Corpus by (Marcu et al., 1999) for English and the Potsdam Commentary Corpus (Stede, 2004) for German.","Producing such resources is a labour- intensive task that requires time, trained annotators, and clearly specified guidelines on what relation to choose under which circumstances.","Nonetheless, rhetorical analysis remains to be in part a rather subjective process (see section 2).",Multi Citance
568,W04-0213.xml,C04-1061.xml,"“Ideally”, discourse analysis proceeds incrementally from left to right, where for each new segment, an attachment point and a relation (or more than one of each, cf.SDRT) are computed and the discourse structure grows step by step.","This view is taken for instance in SDRT (Asher, Lascarides, 2003), which places emphasis on the notion of ‘right frontier’ (also discussed recently by (Webber et al., 2003)).","However, when we trained two (experienced) students to annotate the 171 newspaper commentaries of the Potsdam Commentary Corpus (Stede, 2004) and upon completion of the task asked them about their experiences, a very different picture emerged.","Both annotators agreed that a strict left-to-right approach is highly impractical, because the intended argumentative structure of the text often becomes clear only in retrospect, after reflecting the possible contributions of the segments to the larger scheme.","Thus they very soon settled on a bottom-up approach: First, mark the transparent cases, in which a connective undoubtedly signals a relation between two segments.4 Then, see how the resulting pieces fit together into a structure that mirrors the argument presented.",Single Citance
569,W04-0213.xml,C04-1061.xml,"over to PDTB, where the annotations are more complex than in our step 1 but do not go as far as building rhetorical structures.",mark a relation between matrix clause and embedded clause.,"Annotators have to also make syntactic judgements, which is not the case in our approach (where syntax would be done on a different annotation layer, see (Stede, 2004)).","In the following, we briefly explain the most important problematic issues with annotating German connectives and the way we deal with them, using our annotation scheme for Con- Ano.",3.1 Issues with German connectives.,Single Citance
570,W04-0213.xml,C08-2009.xml,We examine corpus-extracted examples as soft constraints.,"We show how to use Regular Tree Gramamrs to process such constraints, and how the representation of some constraints depends on the expressive power of this formalism.","Discourse structures cannot always be described completely, either because they are ambiguous (Stede, 2004), or because a discourse parser fails to analyse them completely.","In either case, underspecification formalisms (UFs) can be used to represent partial information on discourse structure.","UFs are used in semantics to model structural ambiguity without disjunctive enumeration of the readings (van Deemter and Peters, 1996).",Single Citance
571,W04-0213.xml,P06-3008.xml,Section 5 is a summary and Section 6 directions for future work.,under construction 2.1 Corpus data.,"For the purpose of language engineering and linguistic investigation, we are constructing a Chinese corpus comparable to the English WSJRST treebank and the German Potsdam Commentary Corpus (Carlson et al. 2003; Stede 2004).","Texts in our corpus were downloaded from the official website of People’s Daily 1 , where important Caijingpinlun2 (CJPL) articles 1 www.people.com.cn.",2 Caijinpinglun (CJPL) in Chinese means “financial and.,Multi Citance
572,W04-0213.xml,P08-2062.xml,Underspecification-based algorithms for processing partially disambiguated discourse structure must cope with extremely high numbers of readings.,"Based on previous work on dominance graphs and weighted tree grammars, we provide the first possibility for computing an underspecified discourse description and a best discourse representation efficiently enough to process even the longest discourses in the RST Discourse Treebank.",Discourse processing has emerged as a highly relevant source of information for applications such as information extraction and automatic summarisation (Taboada and Mann (2006) outline this and further applications).,"In either case, only partial information on discourse structure is available.","To handle such information, underspecification formalisms can be used.",Single Citance
573,W04-0213.xml,P08-2062.xml,"Furthermore, we show how weighted RTGs can be used to represent constraints and preferences on the discourse structure.","Taking all these results together, we show for the first time how the globally optimal discourse representation based on some preference model can be computed efficiently from an UDR.","Following annotation schemes like the one of Stede (2004), we model discourse structures by binary trees.",Fig.,(1b-f) represent the potential structures of (1).,Single Citance
574,W04-0213.xml,W06-2709.xml,"Currently, data from 13 different languages is elicited and annotated with information from various linguistic levels (morphosyntax, phonology, semantics, and information structure).An interesting query might look for nominal phrases (const=np) that are new in the discourse (given=new) and belong to the (information-) focus of a sentence (focus=ans), e.g. for investigating the phonological realization of these.","The according query has the form: const=np & given=new & focus=ans & #1 = #2.4 Queries in ANNIS can be restricted to subsets of a corpus, by queries such as focus=ans & doc=*8111*, which searches for all answer foci in the data that has been elicited by means of the task 8111 in the questionnaire, yielding matching data from all languages in our database.","Discourse studies The Potsdam Commentary Corpus, PCC (Stede, 2004), consists of 173 newspaper commentaries, annotated for morphosyn- tax, coreference, discourse structure according to Rhetorical Structure Theory, and information structure.",A question of interest here is the information- structural pattern of sentences introducing discourse segments that elaborate on another part of the discourse: elaboration & rel=satellite & (cat=vroot & aboutness-topic) & #1 > #2 & #2 = #3.,Another research issue is the relationship of coreference and discourse structure.,Single Citance
575,W04-0213.xml,W07-1525.xml,II.,"Extended Scheme: steps 1 to 3 accordingly These stages correspond to the 3 annotation levels within the Core and Extended Schemes respectively, because annotating at all levels at the same time has proved to be very labor-intensive and more time-consuming than one level at a time.","The original annotation guidelines were drafted in 2004 by the authors for the annotation of the Potsdam Commentary Corpus of German newspaper commentaries (PCC) (Stede, 2004)","After a series of annotation experiments, the PoCoS Core Scheme was applied to the PCC by two instructed annotators, students of linguistics, whose portions had an overlap of 19 texts (11%).","Based upon these texts, inter-annotator agreement was calculated using different agreement scores along the methodology of PopescuBelis et al.(2004).",Multi Citance
576,W04-0213.xml,W07-1530.xml,"The corpus on the one hand is a collection of “raw” data, which is used for genre- oriented statistical explorations.","On the other hand, we have identified two sub-corpora that are subject to a rich multi-level annotation (MLA).","The PCC176 (Stede, 2004) is a sub-corpus that is available upon request for research purposes.","The sentences have been PoS-tagged automatically (and manually checked); sentence syntax was annotated semi-automatically using the TIGER scheme 3 Lascarides, 2003) glue logic for building discourse (Brants et al., 2002) and Annotate tool.","In addition, structures is insufficient to deal with open domain text, and we cannot envision an extended version at the present time able to deal with the problem.",Single Citance
577,W04-0213.xml,W07-1530.xml,The units could either be simple (elementary discourse units: ED Us) or they could be complex.,We assumed that in principle the units were recursively generated and could have an arbitrary though finite degree of complexity.,"(Manfred Stede, Potsdam) Construction of the Potsdam Commentary Corpus (PCC) began in 2003 and is still ongoing.","It is a 1 The Message Understanding Conference, wwwnlpir.",nist.gov/related projects/muc/.,Single Citance
578,W04-0213.xml,W11-0401.xml,"For English there is also the Discourse Relations Reference Corpus (Taboada and Renkema, 2008).",This corpus includes 65 texts specified and it does not include texts annotated by several people.,"Another well-known corpus is the Potsdam Commentary Corpus, for German (Stede, 2004; Reitter and Stede, 2003).",This corpus includes 173 texts on politics from the online newspaper MÃ¤rkische Allgemeine Zeitung.,"It contains 32,962 words and 2,195 sentences.",Post Contiguous
579,W04-0213.xml,W12-3205.xml,"For all other kinds of discourse structures, dedicated manual annotation has been required, both for segmentation and labelling, and many of these resources have been made available for other researchers.","For fine-grained functional structure, there is the ART corpus (Liakata et al., 2010)2.","For discourse relations annotated in the RST framework, there is the RST Discourse TreeBank of English text (Carlson et al., 2003), available through the Linguistic Data Consortium (LDC), as well as similarly annotated corpora in Spanish (da Cunha et al., 2011), Portugese (Pardo et al., 2008) and German (Stede, 2004).","For discourse relations annotated in the lexically- grounded approach first described in (Webber and Joshi, 1998), there is the Penn Discourse TreeBank (Prasad et al., 2008) in English, as well as corpora in Modern Standard Arabic (AlSaif and Markert, 2010; AlSaif and Markert, 2011), Chinese (Xue, 2005; Zhou and Xue, 2012), Czech (Mladova´ et al., 2008), Danish (BuchKromann et al., 2009; BuchKromann and Korzen, 2010), Dutch (van der Vliet et al., 2011), Hindi (Oza et al., 2009), and Turkish (Zeyrek and Webber, 2008; Zeyrek et al., 2009; Zeyrek et al., 2010).","Also available are discourse- annotated journal articles in biomedicine (Prasad et al., 2011) and discourse-annotated dialogue (Tonelli et al., 2010).",Multi Citance
580,W04-0213.xml,W13-2708.xml,"erzählen (tell) betonen (emphasize) werden (will) haben (have) schreiben (write) mitteilen (share) berichten (report) meinen (state) erklären (explain) sagen (say) most used speech verbs identities are mobilised by entities of political debate (i.e. persons, organisations, etc.); the detection of indirect speech is mandatory for any such analysis.",4.4 Comm entary/ Report Classif ication A useful distinction for political scientists dealing with newspaper articles is the distinction between articles that report objectively on events or back 0.00% 5.00% 10.00% 15.00% 20.00% 25.00% 30.00% 35.00% 40.00% grounds and editorials or press commentaries.,"We first extracted opinionated and objective texts from DeReKo corpus (Stede, 2004; Kupietz Figure 4: 10 most used verbs (lemma) in indirect speech.",4.3 Using Indirect Speech.,"Other modules benefit from the identification of indirect speech, as can be seen from Sentence 7.",Single Citance
581,W04-0213.xml,W13-3306.xml,"The interpretation of meanwhile plied to SMT (Eidelman et al., 2012) or decoding with document-wide features (Hardmeier et al., 2012).","A recently published article summarizes most of the work on SMT with the broader perspective of discourse, lexical cohesion and co- reference (Hardmeier, 2013).","For discourse relations and DCs especially, more and more annotated resources have become available in several languages, such as English (Prasad et al., 2008), French (PeÂ´ryWoodley et al., 2009; Danlos et al., 2012), German (Stede, 2004)","therefore CONTRASTIVE and not TEMPORAL: SOURCE: Apple Computer Inc., meanwhile<COMPARISONCONTRAST>, is expected to show improved earnings for the period ended September.","BASELINE: Spolecˇnost Apple Computer Inc., mezit´ım by meˇla uka´zat lepsˇ´ı pˇr´ıjmy za obdob´ı koncˇ´ıc´ı v za´ˇr´ı.",Multi Citance
582,W06-3909.xml,D09-1025.xml,"We reimplemented Pas¸ca et al.’s (2006) state-of-the-art web- scale fact extractor, which, given seed instances of a binary relation, finds instances of that relation.","We extract entities of a class, such as Actors, by instantiating typical relations involving that class such as act-in(Actor, Movie).","We instantiate such relations instead of the classical is-a patterns since these have been shown to bring in too many false positives, see (Pantel and Pennacchiotti, 2006) for a discussion of such generic patterns.",The extractor’s confidence score for each instance is used by the Ranker to score the entities being extracted.,Section 4.1 lists the system parameters we used in our experiments.,Single Citance
583,W06-3909.xml,D09-1025.xml,"Most commonly used are is-a pattern families such as those first proposed by Hearst (1992) (e.g., ‘Y such as X’ for matching ‘actors such as Brad Pitt’).",Minimal supervision is used in the form of small sets of manually provided seed patterns or seed instances.,"This approach is very common in both the NLP and Semantic Web communities (Cimiano and Staab, 2004; Cafarella et al., 2005; Pantel and Pennacchiotti, 2006; Pasca et al., 2006).","The distributional approach uses contextual evidence to model the instances of a given class, following the distributional hypothesis (Harris, 1964).","Weakly supervised, these methods take a small set of seed instances (or the class label) and extract new instances from noun phrases that are most similar to the seeds (i.e., that share similar contexts).",Pre Contiguous
584,W06-3909.xml,P09-1045.xml,"Another approach is to identify seeds using hyponym patterns like, * is a [NAMED ENTITY] (Meij and Katrenko, 2007).",This leads us to our first investigation of seed variability and the methodology used to compare bootstrapping algorithms.,"Typically algorithms are compared using one set of handpicked seeds for each category (Pennacchiotti and Pantel, 2006; McIntosh and Curran, 2008).",This approach does not provide a fair comparison or any detailed analysis of the algorithms under investigation.,"As we shall see, it is possible that the seeds achieve the maximum precision for one algorithm and the minimum for another, and thus the single comparison is inappropriate.",Multi Citance
585,W06-3909.xml,P09-1113.xml,"An alternative approach, purely unsupervised information extraction, extracts strings of words between entities in large amounts of text, and clusters and simplifies these word strings to produce relation-strings (Shinyama and Sekine, 2006; Banko et al., 2007).","Unsupervised approaches can use very large amounts of data and extract very large numbers of relations, but the resulting relations may not be easy to map to relations needed for a particular knowledge base.","A third approach has been to use a very small number of seed instances or patterns to do bootstrap learning (Brin, 1998; Riloff and Jones, 1999; Agichtein and Gravano, 2000; Ravichandran and Hovy, 2002; Etzioni et al., 2005; Pennacchiotti and Pantel, 2006; Bunescu and Mooney, 2007; Rozenfeld and Feldman, 2008).","These seeds are used with a large corpus to extract a new set of patterns, which are used to extract more instances, which are used to extract more patterns, in an iterative fashion.",The resulting patterns often suffer from low precision and semantic drift.,Multi Citance
586,W06-3909.xml,P170300_w06.xml,To design specific linguistic relations in each distinct lawsuit is challenging and not required.,Our aim is to suggest relations suit able for any discussion concept.,"To generalize the task, we first determine noun phrases in the data following the definition in (Pennacchiotti and Pantel 2006).",The phrases are combinations of adjectives and nouns.,The technical steps include standard part-of-speech tagging including grammar based chunk parser.,Single Citance
587,W06-3909.xml,P846406_w06.xml,3.6 Skimming to Obtain Relations.,"In a completely separate stream of work, Pantel and Pennacchiotti investigated the extraction of axioms from the text using the statistical text harvesting paradigm.","In (Pennacchiotti and Pantel, 2006; Pantel and Pennacchiotti, 2006) they report the results.","Their harvester, called Espresso, uses weak supervision to learn lexical patterns that typically signal relations of interest, and then applies these relations to extract all likely instances of the relation from the book.",These extractions are then reformulated as HNF axioms and added to the system’s knowledge.,Multi Citance
588,W06-3909.xml,Ponto_w06.xml,"The theoretical idea is that, in the problematic sentence above, an RMRS output would contain the predicate associated with the identity copula be with a first argument corresponding to the term Firemouth cichlid and a second argument corresponding to cichlids, regardless of the word order, modification and so on.","Thus, having obtained the RMRS representation of a given corpus, it would be possible to extract ontological relationships from a semantic structure that abstracts over those morphological and syntactic details that do not affect the ontological relationship.","As pointed out by Pennacchiotti and Pantel [6], most ontology extraction systems so far have focused on generalised is-a or part-of relationships.","Our work involves extracting general hyponymic relations with RMRS and applying a filter to the results to obtain biological, taxonomic relationships.","The corpus was gathered by extracting 12,200 animal articles from the Wikipedia online encyclopaedia (http://www.wikipedia.org/), providing a semi-edited setting where the added robustness of semantics might prove its usefulness.",Single Citance
589,W06-3909.xml,Ponto_w06.xml,The conclusion presents different avenues for future work.,"The most widely used framework for automatic ontology extraction was originally proposed by Marti Hearst [5], who introduced the use of lexico-syntactic patterns for the extraction of hyponymic relationships.","Hearsts method has since then been followed by the most successful systems, such as the Espresso system proposed by Pennacchiotti and Pantel [6], based on bootstrapping.","Aside from this pattern-based approach, new clustering methods have also been investigated.",The main idea is to group terms that appear in the same kind of context and label the resulting clusters.,Single Citance
590,W06-3909.xml,PSS07_w06.xml,Statistical and machine learning systems have almost completely replaced the intricate handcrafted knowledge of earlier language understanding systems.,"Some recent IE systems have extracted domain- independent relations, but still narrowly focused on a few relations.","Pennachiotti and Pantel developed a system that extracts the relations such as is-a, part-of, and succession from the Trec9 corpus and is-a, part-of, production, and reaction from a chemistry corpus (Pennacchiotti &amp; Pantel 2006).","Snow, Jurafsky, and Ng used a hyponym classifier to extract is-a relations from a large collection of newswire and encyclopedia text (Snow, Jurafsky, & Ng 2006).","Recently, a few systems have been created that do “open IE”.",Single Citance
591,W08-2222.xml,P13-1138.xml,"We first split each document in the corpus into sentences and create a shallow Discourse Representation Structure (following Discourse Representation Theory (Kamp and Reyle, 1993)) of each sentence.",The DRS consists of semantic predicates and named entity tags.,"We use Boxer semantic analyzer (Bos, 2008) to extract semantic predicates such as EVENT or DATE.","In parallel, domain specific named entity tags are identified and, in conjunction with the semantic predicates, are used to create templates.",We developed the named-entity tagger for the weather domain ourselves.,Single Citance
592,W08-2222.xml,Q13-1015.xml,"For example, the lexicon may contain the entry: write f- (S\NP)/NP : λ yλ x.write!(x, y) Crucially, there is a transparent interface between the syntactic category and the semantics.","For example the transitive verb entry above defines the verb syntactically as a function mapping two noun- phrases to a sentence, and semantically as a binary relation between its two argument entities.","This means that it is relatively straightforward to deterministically map parser output to a logical form, as in the Boxer system (Bos, 2008).",This Every dog barks NP↑/N N S\NP λ pλ q.∀x[ p(x) =⇒ q(x)] λ x.dog!(x) λ x.bark!(x) > NP↑ λ q.∀x[dog!(x) =⇒ q(x)] > S ∀x[dog!(x) =⇒ bark!(x)] Figure 1: A standard logical form derivation using CCG.,"The NP↑ notation means that the subject is type-raised, and taking the verb-phrase as an argument—so is an abbreviation of S/(S\NP).",Single Citance
593,W08-2222.xml,S12-1040.xml,"Negation lies at the heart of deductive inference, of which consistency checking (searching for contradictions in texts) is a prime example in natural language understanding.",It shouldn’t therefore come as a surprise that detecting negation and adequately representing its scope is of utmost importance in computational semantics.,"In this paper we present and evaluate a system that transforms texts into logical formulas â€“ using the C&amp;C tools and Boxer (Bos, 2008) â€“ in the context of the shared task on recognising negation in English texts (Morante and Blanco, 2012).",We will first sketch the background and the basics of the formalism that we employ in our analysis of negation (Section 2).,In Section 3 we explain how we detect negation cues and scope.,Multi Citance
